tau,prob_actions,results
0.5,"[0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091]","([0], [5], [1], [1])"
0.5,"[0.05750743423396601, 0.05750743423396601, 0.05750743423396601, 0.05750743423396601, 0.05750743423396601, 0.4249256576603398, 0.05750743423396601, 0.05750743423396601, 0.05750743423396601, 0.05750743423396601, 0.05750743423396601]","([1], [7], [1], [2])"
0.5,"[0.04205548328138278, 0.04205548328138278, 0.04205548328138278, 0.04205548328138278, 0.04205548328138278, 0.3107503252337775, 0.04205548328138278, 0.3107503252337775, 0.04205548328138278, 0.04205548328138278, 0.04205548328138278]","([2], [5], [1], [3])"
0.5,"[0.04205548328138278, 0.04205548328138278, 0.04205548328138278, 0.04205548328138278, 0.04205548328138278, 0.3107503252337775, 0.04205548328138278, 0.3107503252337775, 0.04205548328138278, 0.04205548328138278, 0.04205548328138278]","([3], [7], [1], [4])"
0.5,"[0.04205548328138278, 0.04205548328138278, 0.04205548328138278, 0.04205548328138278, 0.04205548328138278, 0.3107503252337775, 0.04205548328138278, 0.3107503252337775, 0.04205548328138278, 0.04205548328138278, 0.04205548328138278]","([4], [0], [1], [5])"
0.5,"[0.24493701318716152, 0.03314862005481444, 0.03314862005481444, 0.03314862005481444, 0.03314862005481444, 0.24493701318716152, 0.03314862005481444, 0.24493701318716152, 0.03314862005481444, 0.03314862005481444, 0.03314862005481444]","([5], [10], [1], [6])"
0.5,"[0.2021285354566112, 0.027355122596222185, 0.027355122596222185, 0.027355122596222185, 0.027355122596222185, 0.2021285354566112, 0.027355122596222185, 0.2021285354566112, 0.027355122596222185, 0.027355122596222185, 0.2021285354566112]","([6], [7], [1], [7])"
0.5,"[0.2021285354566112, 0.027355122596222185, 0.027355122596222185, 0.027355122596222185, 0.027355122596222185, 0.2021285354566112, 0.027355122596222185, 0.2021285354566112, 0.027355122596222185, 0.027355122596222185, 0.2021285354566112]","([7], [8], [1], [8])"
0.5,"[0.17205746507699718, 0.023285445769169008, 0.023285445769169008, 0.023285445769169008, 0.023285445769169008, 0.17205746507699718, 0.023285445769169008, 0.17205746507699718, 0.17205746507699718, 0.023285445769169008, 0.17205746507699718]","([8], [1], [1], [9])"
0.5,"[0.14977511828732326, 0.14977511828732326, 0.020269858055212062, 0.020269858055212062, 0.020269858055212062, 0.14977511828732326, 0.020269858055212062, 0.14977511828732326, 0.14977511828732326, 0.020269858055212062, 0.14977511828732326]","([9], [10], [1], [10])"
0.5,"[0.14977511828732326, 0.14977511828732326, 0.020269858055212062, 0.020269858055212062, 0.020269858055212062, 0.14977511828732326, 0.020269858055212062, 0.14977511828732326, 0.14977511828732326, 0.020269858055212062, 0.14977511828732326]","([10], [2], [2], [12])"
0.5,"[0.07178546191860828, 0.07178546191860828, 0.5304268052042465, 0.009715105821025926, 0.009715105821025926, 0.07178546191860828, 0.009715105821025926, 0.07178546191860828, 0.07178546191860828, 0.009715105821025926, 0.07178546191860828]","([11], [2], [1], [13])"
0.5,"[0.1079957579447935, 0.1079957579447935, 0.2935629063719937, 0.014615636489811294, 0.014615636489811294, 0.1079957579447935, 0.014615636489811294, 0.1079957579447935, 0.1079957579447935, 0.014615636489811294, 0.1079957579447935]","([12], [2], [1], [14])"
0.5,"[0.11779846208249248, 0.11779846208249248, 0.22944007458195903, 0.015942288230771498, 0.015942288230771498, 0.11779846208249248, 0.015942288230771498, 0.11779846208249248, 0.11779846208249248, 0.015942288230771498, 0.11779846208249248]","([13], [0], [2], [16])"
0.5,"[0.2663061385825818, 0.09796855344228486, 0.19081668649242242, 0.013258601928392849, 0.013258601928392849, 0.09796855344228486, 0.013258601928392849, 0.09796855344228486, 0.09796855344228486, 0.013258601928392849, 0.09796855344228486]","([14], [2], [2], [18])"
0.5,"[0.24761390087557741, 0.09109206348038833, 0.24761390087557741, 0.012327970211725858, 0.012327970211725858, 0.09109206348038833, 0.012327970211725858, 0.09109206348038833, 0.09109206348038833, 0.012327970211725858, 0.09109206348038833]","([15], [6], [1], [19])"
0.5,"[0.22953480044492916, 0.08444113411707907, 0.22953480044492916, 0.011427864802555695, 0.011427864802555695, 0.08444113411707907, 0.08444113411707907, 0.08444113411707907, 0.08444113411707907, 0.011427864802555695, 0.08444113411707907]","([16], [0], [2], [21])"
0.5,"[0.2936740162395217, 0.07741163021968943, 0.21042662773757284, 0.010476524901589594, 0.010476524901589594, 0.07741163021968943, 0.07741163021968943, 0.07741163021968943, 0.07741163021968943, 0.010476524901589594, 0.07741163021968943]","([17], [2], [2], [23])"
0.5,"[0.2806010823752365, 0.07396564226628767, 0.24557458058937937, 0.010010161145886013, 0.010010161145886013, 0.07396564226628767, 0.07396564226628767, 0.07396564226628767, 0.07396564226628767, 0.010010161145886013, 0.07396564226628767]","([18], [5], [2], [25])"
0.5,"[0.26221955525931184, 0.0691203243243333, 0.22948755849425762, 0.009354418669840176, 0.009354418669840176, 0.13462800861524346, 0.0691203243243333, 0.0691203243243333, 0.0691203243243333, 0.009354418669840176, 0.0691203243243333]","([19], [2], [1], [26])"
0.5,"[0.2736010974079701, 0.07212046626206313, 0.19604375290015993, 0.009760443728732884, 0.009760443728732884, 0.1404714871953556, 0.07212046626206313, 0.07212046626206313, 0.07212046626206313, 0.009760443728732884, 0.07212046626206313]","([20], [2], [1], [27])"
0.5,"[0.28093281346174587, 0.07405308563131556, 0.17450005669704846, 0.010021995318459225, 0.010021995318459225, 0.14423571572925017, 0.07405308563131556, 0.07405308563131556, 0.07405308563131556, 0.010021995318459225, 0.07405308563131556]","([21], [2], [1], [28])"
0.5,"[0.28600356316652936, 0.07538972074159765, 0.15960004006238712, 0.010202889209693252, 0.010202889209693252, 0.14683912543401548, 0.07538972074159765, 0.07538972074159765, 0.07538972074159765, 0.010202889209693252, 0.07538972074159765]","([22], [4], [2], [30])"
0.5,"[0.18489346496251635, 0.048737388220419724, 0.10317705167228693, 0.006595888239023255, 0.3601232956760432, 0.09492747010900865, 0.048737388220419724, 0.048737388220419724, 0.048737388220419724, 0.006595888239023255, 0.048737388220419724]","([23], [6], [2], [32])"
0.5,"[0.17060612835239272, 0.044971287178695085, 0.09520421570439086, 0.0060862018878437485, 0.33229536380449864, 0.08759210690799009, 0.1222446327402601, 0.044971287178695085, 0.044971287178695085, 0.0060862018878437485, 0.044971287178695085]","([24], [0], [2], [34])"
0.5,"[0.19549837240295376, 0.043621583143028456, 0.0923468922384624, 0.005903539309891205, 0.3223223249680048, 0.08496324241237332, 0.11857575678630965, 0.043621583143028456, 0.043621583143028456, 0.005903539309891205, 0.043621583143028456]","([25], [0], [2], [36])"
